Disease	Symptom_1	Symptom_2	Symptom_3	Symptom_4	Symptom_5	Symptom_6	Symptom_7	Symptom_8	Symptom_9	Symptom_10	Symptom_11	Symptom_12	Symptom_13	Symptom_14	Symptom_15	Symptom_16	Symptom_17
hepatitis A	 joint_pain	 vomiting	 yellowish_skin	 dark_urine	 nausea	 loss_of_appetite	 abdominal_pain	 diarrhoea	 mild_fever	 yellowing_of_eyes	 muscle_pain						
Allergy	 continuous_sneezing	 shivering	 chills	 watering_from_eyes													
Allergy	 continuous_sneezing	 shivering	 chills	 watering_from_eyes													
Common Cold	 continuous_sneezing	 chills	 fatigue	 cough	 high_fever	 headache	 swelled_lymph_nodes	 malaise	 phlegm	 throat_irritation	 redness_of_eyes	 sinus_pressure	 runny_nose	 congestion	 chest_pain	 loss_of_smell	 muscle_pain
Osteoarthristis	 joint_pain	 neck_pain	 knee_pain	 hip_joint_pain	 swelling_joints	 painful_walking											
Peptic ulcer diseae	 vomiting	 indigestion	 abdominal_pain	 passage_of_gases	 internal_itching												
Fungal infection	itching	 skin_rash	 nodal_skin_eruptions	 dischromic _patches													
Impetigo	 skin_rash	 high_fever	 blister	 red_sore_around_nose	 yellow_crust_ooze												
Hypertension 	 headache	 dizziness	 loss_of_balance	 lack_of_concentration													
Osteoarthristis	 joint_pain	 neck_pain	 knee_pain	 hip_joint_pain	 swelling_joints	 painful_walking											
Impetigo	 skin_rash	 high_fever	 blister	 red_sore_around_nose	 yellow_crust_ooze												
AIDS	 muscle_wasting	 patches_in_throat	 high_fever	 extra_marital_contacts													
Hypertension 	 headache	 chest_pain	 loss_of_balance	 lack_of_concentration													
Urinary tract infection	 burning_micturition	 bladder_discomfort	 foul_smell_of urine	 continuous_feel_of_urine													
GERD	 stomach_pain	 acidity	 vomiting	 cough	 chest_pain												
Hepatitis B	itching	 fatigue	 lethargy	 yellowish_skin	 dark_urine	 loss_of_appetite	 abdominal_pain	 yellow_urine	 yellowing_of_eyes	 malaise	 receiving_blood_transfusion	 receiving_unsterile_injections					
Hepatitis E	 joint_pain	 vomiting	 fatigue	 high_fever	 dark_urine	 nausea	 loss_of_appetite	 abdominal_pain	 yellowing_of_eyes	 acute_liver_failure	 coma	 stomach_bleeding					
Psoriasis	 skin_rash	 skin_peeling	 silver_like_dusting	 small_dents_in_nails	 inflammatory_nails												
Fungal infection	itching	 skin_rash	 nodal_skin_eruptions														
Bronchial Asthma	 fatigue	 cough	 high_fever	 breathlessness	 mucoid_sputum												
Psoriasis	 skin_rash	 joint_pain	 skin_peeling	 silver_like_dusting	 small_dents_in_nails	 inflammatory_nails											
(vertigo) Paroymsal  Positional Vertigo	 vomiting	 headache	 nausea	 spinning_movements	 loss_of_balance	 unsteadiness											
Psoriasis	 skin_rash	 joint_pain	 skin_peeling	 silver_like_dusting	 small_dents_in_nails	 inflammatory_nails											
Tuberculosis	 chills	 vomiting	 fatigue	 weight_loss	 cough	 high_fever	 breathlessness	 sweating	 loss_of_appetite	 mild_fever	 yellowing_of_eyes	 swelled_lymph_nodes	 malaise	 phlegm	 chest_pain	 blood_in_sputum	
Cervical spondylosis	 back_pain	 weakness_in_limbs	 neck_pain	 dizziness	 loss_of_balance												
Hepatitis B	itching	 fatigue	 lethargy	 yellowish_skin	 dark_urine	 loss_of_appetite	 abdominal_pain	 yellow_urine	 yellowing_of_eyes	 malaise	 receiving_blood_transfusion	 receiving_unsterile_injections					
AIDS	 muscle_wasting	 patches_in_throat	 high_fever														
Osteoarthristis	 joint_pain	 neck_pain	 knee_pain	 hip_joint_pain	 swelling_joints	 painful_walking											
Cervical spondylosis	 back_pain	 weakness_in_limbs	 neck_pain	 loss_of_balance													
hepatitis A	 joint_pain	 vomiting	 yellowish_skin	 dark_urine	 nausea	 loss_of_appetite	 abdominal_pain	 diarrhoea	 mild_fever	 yellowing_of_eyes	 muscle_pain						
AIDS	 muscle_wasting	 patches_in_throat	 high_fever	 extra_marital_contacts													
Pneumonia	 chills	 fatigue	 cough	 high_fever	 breathlessness	 sweating	 malaise	 phlegm	 chest_pain	 fast_heart_rate	 rusty_sputum						
Paralysis (brain hemorrhage)	 vomiting	 headache	 weakness_of_one_body_side	 altered_sensorium													
Jaundice	itching	 vomiting	 fatigue	 weight_loss	 high_fever	 yellowish_skin	 dark_urine	 abdominal_pain									
Osteoarthristis	 joint_pain	 neck_pain	 knee_pain	 hip_joint_pain	 swelling_joints	 painful_walking											
Hyperthyroidism	 fatigue	 mood_swings	 weight_loss	 restlessness	 sweating	 diarrhoea	 fast_heart_rate	 excessive_hunger	 muscle_weakness	 irritability	 abnormal_menstruation						
Hepatitis B	itching	 fatigue	 yellowish_skin	 dark_urine	 loss_of_appetite	 abdominal_pain	 yellow_urine	 yellowing_of_eyes	 malaise	 receiving_blood_transfusion	 receiving_unsterile_injections						
hepatitis A	 joint_pain	 vomiting	 yellowish_skin	 dark_urine	 nausea	 abdominal_pain	 diarrhoea	 mild_fever	 yellowing_of_eyes	 muscle_pain							
Arthritis	 muscle_weakness	 stiff_neck	 swelling_joints	 movement_stiffness	 painful_walking												
Paralysis (brain hemorrhage)	 vomiting	 weakness_of_one_body_side	 altered_sensorium														
Hepatitis D	 joint_pain	 vomiting	 fatigue	 yellowish_skin	 dark_urine	 nausea	 loss_of_appetite	 abdominal_pain	 yellowing_of_eyes								
Common Cold	 continuous_sneezing	 chills	 fatigue	 cough	 high_fever	 headache	 swelled_lymph_nodes	 malaise	 phlegm	 throat_irritation	 redness_of_eyes	 sinus_pressure	 runny_nose	 congestion	 chest_pain	 loss_of_smell	 muscle_pain
Hypoglycemia	 vomiting	 fatigue	 anxiety	 sweating	 headache	 nausea	 blurred_and_distorted_vision	 excessive_hunger	 drying_and_tingling_lips	 slurred_speech	 irritability	 palpitations					
Fungal infection	itching	 skin_rash	 nodal_skin_eruptions														
Gastroenteritis	 vomiting	 sunken_eyes	 dehydration	 diarrhoea													
Diabetes 	 fatigue	 weight_loss	 restlessness	 lethargy	 irregular_sugar_level	 blurred_and_distorted_vision	 obesity	 excessive_hunger	 increased_appetite	 polyuria							
Cervical spondylosis	 back_pain	 neck_pain	 dizziness	 loss_of_balance													
Migraine	 acidity	 indigestion	 headache	 blurred_and_distorted_vision	 excessive_hunger	 stiff_neck	 depression	 irritability									
(vertigo) Paroymsal  Positional Vertigo	 headache	 nausea	 spinning_movements	 loss_of_balance	 unsteadiness												
Pneumonia	 chills	 fatigue	 cough	 high_fever	 breathlessness	 sweating	 malaise	 phlegm	 chest_pain	 fast_heart_rate	 rusty_sputum						
Migraine	 acidity	 indigestion	 headache	 blurred_and_distorted_vision	 excessive_hunger	 stiff_neck	 depression	 irritability	 visual_disturbances								
Arthritis	 muscle_weakness	 stiff_neck	 swelling_joints	 movement_stiffness	 painful_walking												
Urinary tract infection	 burning_micturition	 bladder_discomfort	 foul_smell_of urine	 continuous_feel_of_urine													
Heart attack	 vomiting	 breathlessness	 sweating	 chest_pain													
Hepatitis E	 joint_pain	 vomiting	 fatigue	 high_fever	 yellowish_skin	 dark_urine	 nausea	 loss_of_appetite	 abdominal_pain	 yellowing_of_eyes	 acute_liver_failure	 coma	 stomach_bleeding				
Bronchial Asthma	 fatigue	 cough	 high_fever	 breathlessness	 mucoid_sputum												
Cervical spondylosis	 back_pain	 weakness_in_limbs	 neck_pain	 dizziness	 loss_of_balance												
Cervical spondylosis	 back_pain	 weakness_in_limbs	 neck_pain	 dizziness	 loss_of_balance												
Chronic cholestasis	itching	 vomiting	 yellowish_skin	 nausea	 loss_of_appetite	 abdominal_pain	 yellowing_of_eyes										
Migraine	 acidity	 indigestion	 headache	 blurred_and_distorted_vision	 excessive_hunger	 stiff_neck	 depression	 irritability	 visual_disturbances								
Hypertension 	 headache	 chest_pain	 dizziness	 loss_of_balance	 lack_of_concentration												
Varicose veins	 fatigue	 cramps	 bruising	 obesity	 swollen_legs	 prominent_veins_on_calf											
Hepatitis C	 fatigue	 yellowish_skin	 nausea	 loss_of_appetite	 family_history												
Hypoglycemia	 vomiting	 fatigue	 anxiety	 sweating	 headache	 nausea	 blurred_and_distorted_vision	 excessive_hunger	 slurred_speech	 irritability	 palpitations						
Hypertension 	 headache	 chest_pain	 dizziness	 loss_of_balance	 lack_of_concentration												
Chicken pox	 skin_rash	 fatigue	 lethargy	 high_fever	 headache	 loss_of_appetite	 mild_fever	 swelled_lymph_nodes	 malaise	 red_spots_over_body							
Malaria	 chills	 vomiting	 high_fever	 sweating	 headache	 nausea	 muscle_pain										
Hepatitis E	 joint_pain	 vomiting	 fatigue	 high_fever	 dark_urine	 nausea	 loss_of_appetite	 abdominal_pain	 yellowing_of_eyes	 acute_liver_failure	 coma	 stomach_bleeding					
Tuberculosis	 chills	 vomiting	 fatigue	 weight_loss	 cough	 high_fever	 breathlessness	 sweating	 loss_of_appetite	 mild_fever	 yellowing_of_eyes	 swelled_lymph_nodes	 malaise	 phlegm	 chest_pain	 blood_in_sputum	
Hypertension 	 headache	 chest_pain	 dizziness	 loss_of_balance	 lack_of_concentration												
Paralysis (brain hemorrhage)	 vomiting	 headache	 weakness_of_one_body_side	 altered_sensorium													
Fungal infection	 skin_rash	 nodal_skin_eruptions	 dischromic _patches														
Hepatitis D	 joint_pain	 vomiting	 fatigue	 yellowish_skin	 dark_urine	 nausea	 loss_of_appetite	 abdominal_pain	 yellowing_of_eyes								
Bronchial Asthma	 fatigue	 cough	 high_fever	 breathlessness	 family_history	 mucoid_sputum											
Hepatitis C	 fatigue	 yellowish_skin	 loss_of_appetite	 yellowing_of_eyes	 family_history												
Hyperthyroidism	 fatigue	 mood_swings	 weight_loss	 restlessness	 sweating	 diarrhoea	 fast_heart_rate	 excessive_hunger	 muscle_weakness	 irritability	 abnormal_menstruation						
Hepatitis B	itching	 fatigue	 lethargy	 yellowish_skin	 dark_urine	 loss_of_appetite	 abdominal_pain	 yellow_urine	 yellowing_of_eyes	 malaise	 receiving_blood_transfusion	 receiving_unsterile_injections					
Hyperthyroidism	 fatigue	 weight_loss	 restlessness	 sweating	 diarrhoea	 fast_heart_rate	 excessive_hunger	 muscle_weakness	 irritability	 abnormal_menstruation							
Hypertension 	 headache	 chest_pain	 dizziness	 loss_of_balance	 lack_of_concentration												
Dimorphic hemmorhoids(piles)	 pain_during_bowel_movements	 pain_in_anal_region	 bloody_stool	 irritation_in_anus													
AIDS	 patches_in_throat	 high_fever	 extra_marital_contacts														
Psoriasis	 skin_rash	 joint_pain	 skin_peeling	 silver_like_dusting	 small_dents_in_nails	 inflammatory_nails											
Hypoglycemia	 vomiting	 fatigue	 anxiety	 sweating	 headache	 nausea	 blurred_and_distorted_vision	 excessive_hunger	 drying_and_tingling_lips	 slurred_speech	 irritability	 palpitations					
Cervical spondylosis	 back_pain	 weakness_in_limbs	 neck_pain	 dizziness	 loss_of_balance												
Acne	 skin_rash	 pus_filled_pimples	 blackheads	 scurring													
Typhoid	 chills	 vomiting	 fatigue	 high_fever	 headache	 nausea	 constipation	 abdominal_pain	 diarrhoea	 toxic_look_(typhos)	 belly_pain						
Hepatitis B	itching	 fatigue	 lethargy	 yellowish_skin	 dark_urine	 loss_of_appetite	 abdominal_pain	 yellow_urine	 yellowing_of_eyes	 malaise	 receiving_blood_transfusion	 receiving_unsterile_injections					
Diabetes 	 fatigue	 weight_loss	 restlessness	 lethargy	 irregular_sugar_level	 blurred_and_distorted_vision	 obesity	 excessive_hunger	 increased_appetite	 polyuria							
Drug Reaction	itching	 stomach_pain	 burning_micturition	 spotting_ urination													
Diabetes 	 fatigue	 weight_loss	 restlessness	 lethargy	 irregular_sugar_level	 blurred_and_distorted_vision	 obesity	 excessive_hunger	 increased_appetite	 polyuria							
Allergy	 continuous_sneezing	 shivering	 watering_from_eyes														
Bronchial Asthma	 fatigue	 cough	 high_fever	 breathlessness	 family_history	 mucoid_sputum											
Paralysis (brain hemorrhage)	 vomiting	 headache	 weakness_of_one_body_side	 altered_sensorium													
Arthritis	 muscle_weakness	 stiff_neck	 swelling_joints	 movement_stiffness	 painful_walking												
Urinary tract infection	 burning_micturition	 bladder_discomfort	 foul_smell_of urine	 continuous_feel_of_urine													
Paralysis (brain hemorrhage)	 vomiting	 headache	 weakness_of_one_body_side														
Jaundice	itching	 vomiting	 fatigue	 weight_loss	 high_fever	 yellowish_skin	 dark_urine	 abdominal_pain									
Hepatitis E	 joint_pain	 vomiting	 fatigue	 high_fever	 yellowish_skin	 dark_urine	 nausea	 loss_of_appetite	 abdominal_pain	 yellowing_of_eyes	 acute_liver_failure	 coma	 stomach_bleeding				
Acne	 skin_rash	 pus_filled_pimples	 blackheads														
Cervical spondylosis	 back_pain	 weakness_in_limbs	 neck_pain	 dizziness	 loss_of_balance												
Diabetes 	 fatigue	 weight_loss	 restlessness	 lethargy	 irregular_sugar_level	 blurred_and_distorted_vision	 obesity	 excessive_hunger	 increased_appetite	 polyuria							
Malaria	 chills	 vomiting	 high_fever	 sweating	 nausea	 diarrhoea	 muscle_pain										
Arthritis	 muscle_weakness	 stiff_neck	 swelling_joints	 movement_stiffness	 painful_walking												
Psoriasis	 skin_rash	 joint_pain	 skin_peeling	 small_dents_in_nails	 inflammatory_nails												
Alcoholic hepatitis	 vomiting	 yellowish_skin	 abdominal_pain	 swelling_of_stomach	 distention_of_abdomen	 history_of_alcohol_consumption											
Typhoid	 chills	 vomiting	 fatigue	 high_fever	 headache	 constipation	 abdominal_pain	 diarrhoea	 toxic_look_(typhos)	 belly_pain							
Fungal infection	itching	 skin_rash	 nodal_skin_eruptions	 dischromic _patches													
hepatitis A	 joint_pain	 vomiting	 yellowish_skin	 dark_urine	 nausea	 loss_of_appetite	 abdominal_pain	 diarrhoea	 mild_fever	 yellowing_of_eyes	 muscle_pain						
Arthritis	 muscle_weakness	 stiff_neck	 movement_stiffness	 painful_walking													
Osteoarthristis	 joint_pain	 neck_pain	 knee_pain	 hip_joint_pain	 swelling_joints	 painful_walking											
Diabetes 	 fatigue	 weight_loss	 restlessness	 lethargy	 irregular_sugar_level	 blurred_and_distorted_vision	 obesity	 excessive_hunger	 increased_appetite	 polyuria							
Heart attack	 vomiting	 breathlessness	 sweating														
Hepatitis B	itching	 fatigue	 lethargy	 yellowish_skin	 dark_urine	 abdominal_pain	 yellow_urine	 yellowing_of_eyes	 malaise	 receiving_blood_transfusion	 receiving_unsterile_injections						
Hepatitis C	 fatigue	 yellowish_skin	 nausea	 loss_of_appetite	 yellowing_of_eyes	 family_history											
Dimorphic hemmorhoids(piles)	 constipation	 pain_during_bowel_movements	 pain_in_anal_region	 bloody_stool	 irritation_in_anus												
Jaundice	itching	 vomiting	 fatigue	 weight_loss	 high_fever	 dark_urine	 abdominal_pain										
hepatitis A	 joint_pain	 vomiting	 yellowish_skin	 dark_urine	 nausea	 loss_of_appetite	 abdominal_pain	 diarrhoea	 mild_fever	 yellowing_of_eyes	 muscle_pain						
Migraine	 acidity	 indigestion	 headache	 excessive_hunger	 stiff_neck	 depression	 irritability	 visual_disturbances									
Pneumonia	 chills	 fatigue	 high_fever	 breathlessness	 sweating	 malaise	 phlegm	 chest_pain	 fast_heart_rate	 rusty_sputum							
Hepatitis B	itching	 fatigue	 lethargy	 yellowish_skin	 dark_urine	 loss_of_appetite	 abdominal_pain	 yellowing_of_eyes	 malaise	 receiving_blood_transfusion	 receiving_unsterile_injections						
Hypoglycemia	 vomiting	 fatigue	 anxiety	 sweating	 headache	 nausea	 blurred_and_distorted_vision	 excessive_hunger	 slurred_speech	 irritability	 palpitations						
hepatitis A	 joint_pain	 vomiting	 yellowish_skin	 dark_urine	 nausea	 loss_of_appetite	 abdominal_pain	 diarrhoea	 mild_fever	 yellowing_of_eyes	 muscle_pain						
(vertigo) Paroymsal  Positional Vertigo	 vomiting	 headache	 nausea	 spinning_movements	 loss_of_balance												
AIDS	 muscle_wasting	 patches_in_throat	 extra_marital_contacts														
Alcoholic hepatitis	 vomiting	 yellowish_skin	 abdominal_pain	 swelling_of_stomach	 distention_of_abdomen	 history_of_alcohol_consumption	 fluid_overload										
Heart attack	 vomiting	 breathlessness	 sweating	 chest_pain													
Hypertension 	 headache	 chest_pain	 loss_of_balance	 lack_of_concentration													
(vertigo) Paroymsal  Positional Vertigo	 vomiting	 headache	 nausea	 loss_of_balance	 unsteadiness												
Hypertension 	 headache	 chest_pain	 dizziness	 loss_of_balance	 lack_of_concentration												
Paralysis (brain hemorrhage)	 headache	 weakness_of_one_body_side	 altered_sensorium														
Alcoholic hepatitis	 vomiting	 yellowish_skin	 abdominal_pain	 swelling_of_stomach	 distention_of_abdomen	 history_of_alcohol_consumption	 fluid_overload										
Hypothyroidism	 fatigue	 weight_gain	 cold_hands_and_feets	 mood_swings	 lethargy	 dizziness	 puffy_face_and_eyes	 enlarged_thyroid	 brittle_nails	 swollen_extremeties	 depression	 irritability	 abnormal_menstruation				
Migraine	 acidity	 indigestion	 headache	 blurred_and_distorted_vision	 excessive_hunger	 stiff_neck	 depression	 visual_disturbances									
Dimorphic hemmorhoids(piles)	 constipation	 pain_during_bowel_movements	 pain_in_anal_region	 bloody_stool	 irritation_in_anus												
hepatitis A	 joint_pain	 vomiting	 yellowish_skin	 dark_urine	 nausea	 loss_of_appetite	 abdominal_pain	 diarrhoea	 mild_fever	 yellowing_of_eyes	 muscle_pain						
Hepatitis E	 joint_pain	 vomiting	 fatigue	 high_fever	 yellowish_skin	 dark_urine	 nausea	 loss_of_appetite	 abdominal_pain	 yellowing_of_eyes	 acute_liver_failure	 coma	 stomach_bleeding				
Peptic ulcer diseae	 vomiting	 indigestion	 loss_of_appetite	 abdominal_pain	 passage_of_gases	 internal_itching											
Jaundice	itching	 vomiting	 fatigue	 weight_loss	 high_fever	 yellowish_skin	 dark_urine	 abdominal_pain									
Peptic ulcer diseae	 vomiting	 indigestion	 loss_of_appetite	 abdominal_pain	 passage_of_gases	 internal_itching											
Common Cold	 continuous_sneezing	 chills	 fatigue	 cough	 high_fever	 headache	 swelled_lymph_nodes	 malaise	 phlegm	 throat_irritation	 redness_of_eyes	 sinus_pressure	 runny_nose	 congestion	 chest_pain	 loss_of_smell	 muscle_pain
Hypoglycemia	 vomiting	 fatigue	 anxiety	 sweating	 headache	 nausea	 blurred_and_distorted_vision	 excessive_hunger	 drying_and_tingling_lips	 slurred_speech	 irritability	 palpitations					
Paralysis (brain hemorrhage)	 vomiting	 headache	 weakness_of_one_body_side	 altered_sensorium													
GERD	 stomach_pain	 acidity	 ulcers_on_tongue	 vomiting	 cough	 chest_pain											
Typhoid	 chills	 vomiting	 fatigue	 high_fever	 headache	 nausea	 constipation	 abdominal_pain	 diarrhoea	 toxic_look_(typhos)	 belly_pain						
Migraine	 acidity	 indigestion	 headache	 blurred_and_distorted_vision	 excessive_hunger	 stiff_neck	 depression	 irritability	 visual_disturbances								
Paralysis (brain hemorrhage)	 vomiting	 headache	 weakness_of_one_body_side	 altered_sensorium													
Paralysis (brain hemorrhage)	 vomiting	 headache	 altered_sensorium														
Heart attack	 vomiting	 breathlessness	 sweating	 chest_pain													
Dengue	 skin_rash	 chills	 joint_pain	 vomiting	 fatigue	 high_fever	 headache	 nausea	 loss_of_appetite	 pain_behind_the_eyes	 back_pain	 malaise	 muscle_pain				
Alcoholic hepatitis	 vomiting	 yellowish_skin	 abdominal_pain	 swelling_of_stomach	 distention_of_abdomen	 history_of_alcohol_consumption	 fluid_overload										
GERD	 stomach_pain	 acidity	 ulcers_on_tongue	 vomiting	 cough	 chest_pain											
Bronchial Asthma	 fatigue	 cough	 high_fever	 breathlessness	 family_history	 mucoid_sputum											
Hepatitis B	itching	 fatigue	 lethargy	 yellowish_skin	 dark_urine	 loss_of_appetite	 yellow_urine	 yellowing_of_eyes	 malaise	 receiving_blood_transfusion	 receiving_unsterile_injections						
Urinary tract infection	 burning_micturition	 bladder_discomfort	 foul_smell_of urine	 continuous_feel_of_urine													
Hyperthyroidism	 fatigue	 mood_swings	 weight_loss	 restlessness	 sweating	 diarrhoea	 fast_heart_rate	 excessive_hunger	 muscle_weakness	 irritability	 abnormal_menstruation						
Diabetes 	 fatigue	 weight_loss	 restlessness	 lethargy	 irregular_sugar_level	 blurred_and_distorted_vision	 obesity	 excessive_hunger	 increased_appetite	 polyuria							
Typhoid	 chills	 fatigue	 high_fever	 headache	 nausea	 constipation	 abdominal_pain	 diarrhoea	 toxic_look_(typhos)	 belly_pain							
Chicken pox	itching	 skin_rash	 fatigue	 lethargy	 high_fever	 headache	 loss_of_appetite	 mild_fever	 swelled_lymph_nodes	 malaise	 red_spots_over_body						
(vertigo) Paroymsal  Positional Vertigo	 vomiting	 headache	 nausea	 spinning_movements	 loss_of_balance	 unsteadiness											
Fungal infection	itching	 skin_rash	 nodal_skin_eruptions	 dischromic _patches													
Chicken pox	itching	 skin_rash	 fatigue	 lethargy	 high_fever	 headache	 loss_of_appetite	 swelled_lymph_nodes	 malaise	 red_spots_over_body							
(vertigo) Paroymsal  Positional Vertigo	 vomiting	 headache	 nausea	 spinning_movements	 loss_of_balance	 unsteadiness											
Hyperthyroidism	 fatigue	 mood_swings	 weight_loss	 restlessness	 sweating	 diarrhoea	 fast_heart_rate	 excessive_hunger	 muscle_weakness	 irritability	 abnormal_menstruation						
Jaundice	itching	 vomiting	 fatigue	 weight_loss	 high_fever	 yellowish_skin	 dark_urine	 abdominal_pain									
Typhoid	 chills	 vomiting	 fatigue	 high_fever	 headache	 nausea	 constipation	 diarrhoea	 toxic_look_(typhos)	 belly_pain							
Heart attack	 vomiting	 breathlessness	 chest_pain														
Gastroenteritis	 sunken_eyes	 dehydration	 diarrhoea														
AIDS	 muscle_wasting	 patches_in_throat	 high_fever														
Hypothyroidism	 fatigue	 weight_gain	 cold_hands_and_feets	 lethargy	 dizziness	 puffy_face_and_eyes	 enlarged_thyroid	 brittle_nails	 swollen_extremeties	 depression	 irritability	 abnormal_menstruation					
Typhoid	 chills	 vomiting	 fatigue	 high_fever	 headache	 nausea	 constipation	 abdominal_pain	 diarrhoea	 toxic_look_(typhos)	 belly_pain						
Malaria	 chills	 vomiting	 high_fever	 headache	 nausea	 diarrhoea	 muscle_pain										
Peptic ulcer diseae	 vomiting	 indigestion	 loss_of_appetite	 abdominal_pain	 passage_of_gases	 internal_itching											
Diabetes 	 fatigue	 weight_loss	 lethargy	 irregular_sugar_level	 blurred_and_distorted_vision	 obesity	 excessive_hunger	 increased_appetite	 polyuria								
Urinary tract infection	 bladder_discomfort	 foul_smell_of urine	 continuous_feel_of_urine														
Paralysis (brain hemorrhage)	 vomiting	 headache	 altered_sensorium														
Arthritis	 muscle_weakness	 stiff_neck	 swelling_joints	 movement_stiffness	 painful_walking												
Jaundice	itching	 vomiting	 fatigue	 weight_loss	 high_fever	 yellowish_skin	 dark_urine	 abdominal_pain									
(vertigo) Paroymsal  Positional Vertigo	 vomiting	 headache	 nausea	 spinning_movements	 loss_of_balance	 unsteadiness											
Fungal infection	itching	 skin_rash	 nodal_skin_eruptions														
Dimorphic hemmorhoids(piles)	 pain_during_bowel_movements	 pain_in_anal_region	 bloody_stool	 irritation_in_anus													
Chicken pox	itching	 skin_rash	 fatigue	 lethargy	 high_fever	 headache	 loss_of_appetite	 mild_fever	 swelled_lymph_nodes	 malaise	 red_spots_over_body						
Hypothyroidism	 weight_gain	 cold_hands_and_feets	 mood_swings	 lethargy	 dizziness	 puffy_face_and_eyes	 enlarged_thyroid	 brittle_nails	 swollen_extremeties	 depression	 irritability	 abnormal_menstruation					
Hepatitis E	 joint_pain	 vomiting	 fatigue	 high_fever	 yellowish_skin	 dark_urine	 nausea	 loss_of_appetite	 abdominal_pain	 yellowing_of_eyes	 coma	 stomach_bleeding					
Psoriasis	 skin_rash	 joint_pain	 skin_peeling	 silver_like_dusting	 small_dents_in_nails	 inflammatory_nails											
Pneumonia	 chills	 fatigue	 cough	 high_fever	 breathlessness	 sweating	 malaise	 phlegm	 chest_pain	 fast_heart_rate	 rusty_sputum						
Hyperthyroidism	 fatigue	 mood_swings	 weight_loss	 restlessness	 sweating	 diarrhoea	 excessive_hunger	 muscle_weakness	 irritability	 abnormal_menstruation							
Jaundice	itching	 vomiting	 fatigue	 weight_loss	 high_fever	 yellowish_skin	 dark_urine	 abdominal_pain									
Fungal infection	itching	 skin_rash	 nodal_skin_eruptions														
GERD	 stomach_pain	 acidity	 ulcers_on_tongue	 vomiting	 cough	 chest_pain											
Chicken pox	itching	 skin_rash	 lethargy	 high_fever	 headache	 loss_of_appetite	 mild_fever	 swelled_lymph_nodes	 malaise	 red_spots_over_body							
Acne	 skin_rash	 pus_filled_pimples	 blackheads	 scurring													
Psoriasis	 skin_rash	 joint_pain	 skin_peeling	 silver_like_dusting	 small_dents_in_nails	 inflammatory_nails											
Hepatitis B	itching	 fatigue	 lethargy	 yellowish_skin	 dark_urine	 loss_of_appetite	 abdominal_pain	 yellow_urine	 yellowing_of_eyes	 malaise	 receiving_blood_transfusion	 receiving_unsterile_injections					
Hypothyroidism	 fatigue	 weight_gain	 cold_hands_and_feets	 mood_swings	 lethargy	 dizziness	 puffy_face_and_eyes	 enlarged_thyroid	 brittle_nails	 swollen_extremeties	 depression	 irritability	 abnormal_menstruation				
Gastroenteritis	 vomiting	 sunken_eyes	 dehydration														
Gastroenteritis	 vomiting	 sunken_eyes	 dehydration	 diarrhoea													
Psoriasis	 skin_rash	 joint_pain	 skin_peeling	 silver_like_dusting	 small_dents_in_nails												
Osteoarthristis	 joint_pain	 neck_pain	 knee_pain	 hip_joint_pain	 swelling_joints	 painful_walking											
Diabetes 	 fatigue	 weight_loss	 restlessness	 lethargy	 irregular_sugar_level	 blurred_and_distorted_vision	 obesity	 excessive_hunger	 increased_appetite	 polyuria							
Impetigo	 skin_rash	 high_fever	 blister	 red_sore_around_nose	 yellow_crust_ooze												
Hypertension 	 headache	 chest_pain	 dizziness	 loss_of_balance	 lack_of_concentration												
Drug Reaction	itching	 stomach_pain	 burning_micturition	 spotting_ urination													
Drug Reaction	itching	 skin_rash	 stomach_pain	 burning_micturition	 spotting_ urination												
Drug Reaction	itching	 skin_rash	 stomach_pain	 burning_micturition	 spotting_ urination												
Bronchial Asthma	 fatigue	 cough	 high_fever	 breathlessness	 family_history	 mucoid_sputum											
Hyperthyroidism	 fatigue	 mood_swings	 weight_loss	 restlessness	 sweating	 diarrhoea	 fast_heart_rate	 excessive_hunger	 muscle_weakness	 irritability	 abnormal_menstruation						
Osteoarthristis	 joint_pain	 neck_pain	 knee_pain	 hip_joint_pain	 swelling_joints	 painful_walking											
Impetigo	 skin_rash	 blister	 red_sore_around_nose	 yellow_crust_ooze													
Drug Reaction	itching	 skin_rash	 stomach_pain	 burning_micturition	 spotting_ urination												
Hepatitis D	 joint_pain	 vomiting	 fatigue	 yellowish_skin	 dark_urine	 nausea	 loss_of_appetite	 abdominal_pain	 yellowing_of_eyes								
Varicose veins	 fatigue	 cramps	 bruising	 obesity	 swollen_legs	 swollen_blood_vessels	 prominent_veins_on_calf										
Bronchial Asthma	 cough	 high_fever	 breathlessness	 family_history	 mucoid_sputum												
Hepatitis C	 fatigue	 yellowish_skin	 nausea	 loss_of_appetite	 yellowing_of_eyes												
Heart attack	 vomiting	 breathlessness	 sweating	 chest_pain													
Chicken pox	itching	 skin_rash	 fatigue	 lethargy	 high_fever	 headache	 loss_of_appetite	 mild_fever	 swelled_lymph_nodes	 malaise	 red_spots_over_body						
Hypertension 	 headache	 chest_pain	 dizziness	 loss_of_balance	 lack_of_concentration												
Pneumonia	 chills	 fatigue	 cough	 high_fever	 breathlessness	 sweating	 malaise	 phlegm	 chest_pain	 fast_heart_rate	 rusty_sputum						
